plant_id,timestamp,source,irradiance,panel_temperature,dc_voltage,dc_current,ac_power,battery_soc,battery_voltage,battery_current,battery_temperature,load_power,grid_status,grid_voltage,grid_frequency,import_power,export_power,inverter_status,inverter_fault_code,sensor_status,is_injected_anomaly
SOLAR_001,2026-01-01 00:00:00,solar,0.0,18.928434738920313,503.2459749678933,0.0745857909470584,0.03668269502152206,47.81764490109319,47.825411592087455,-34.680096207339,20.11522391795254,1.6952725701907008,available,232.02364235247114,49.98533363075466,0.0,0.0,normal,,normal,False
SOLAR_001,2026-01-01 00:15:00,solar,33.98263148753039,18.026293689701955,499.48624312439586,0.707430839322867,0.34238680251481274,46.13706587892974,47.69096527031438,-26.78159373803343,17.572611394773762,1.619626859359034,available,232.04679987417103,50.0308693887279,0.0,0.0,normal,,normal,False
SOLAR_001,2026-01-01 00:30:00,solar,0.0,16.396096272075077,505.63566774048576,0.14911125870265907,0.07301600363141789,44.112041946805064,47.5289633557444,-32.38063866227253,18.74944713585692,1.6120341920461692,available,231.12058830866695,49.983255293895404,0.0,0.0,normal,,normal,False
SOLAR_001,2026-01-01 00:45:00,solar,0.0,18.70238679088674,496.8684091216535,0.11340892594413156,0.054793098520406196,41.76674516793615,47.34133961343489,-37.65050939611658,18.73731640034325,1.8372186504607826,available,227.46470153757033,50.0096962728264,0.0,0.0,normal,,normal,False
SOLAR_001,2026-01-01 01:00:00,solar,6.432569498802131,15.670823547383023,499.4578514930069,0.12172780985148406,0.05877648395648838,40.20472481223913,47.21637798497913,-25.14245100942307,16.02241290906783,1.245911954286228,available,229.8037304455729,50.04786360826399,0.0,0.0,normal,,normal,False
SOLAR_001,2026-01-01 01:15:00,solar,35.00276026068411,18.478102140933164,499.7960512828896,0.6987983803840474,0.33647943259124435,38.78653329457561,47.10292266356605,-22.882349809218237,18.51731433531353,1.4143049860155164,available,227.30561537643976,50.07575808618979,0.0,0.0,normal,,normal,False
SOLAR_001,2026-01-01 01:30:00,solar,28.366565193817014,21.17803858656875,504.36874531533766,0.2884518216751045,0.1419563866205705,36.881783345963036,46.95054266767704,-30.832656635982996,21.519610316418927,1.5895663475661257,available,229.7054132280978,50.014434007240475,0.0,0.0,normal,,normal,False
SOLAR_001,2026-01-01 01:45:00,solar,32.95717719761817,18.26646599049503,500.4235483283287,0.6437015087487601,0.3117333815302376,35.38349338781277,46.83067947102502,-24.315264716556985,19.35915332355651,1.450433749724442,available,231.29484233445854,50.00588827035201,0.0,0.0,normal,,normal,False
SOLAR_001,2026-01-01 02:00:00,solar,0.0,16.075104997084118,500.5342756582325,0.0,0.0,33.36891172906512,46.66951293832521,-32.80690035637554,17.179331327829562,1.5310820606482143,available,231.98420864583022,49.94463549202591,0.0,0.0,normal,,normal,False
SOLAR_001,2026-01-01 02:15:00,solar,16.41874312758202,18.39751072573112,493.3806275399683,0.36398893950731115,0.17364969184372392,31.119257335383356,46.48954058683067,-36.776817271506125,16.630903013575097,1.8833870310418634,available,230.9456895597181,50.079289922705534,0.0,0.0,normal,,normal,False
